messages_delayed_for_map,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
14,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
15,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
16,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
17,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
18,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
19,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
20,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
21,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
22,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
23,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
24,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
25,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
26,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
27,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
28,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
29,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
30,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
31,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
32,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
33,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
34,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
35,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
36,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
37,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
38,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
39,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
40,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
41,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
42,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
43,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
44,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
45,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
46,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
47,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
48,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
49,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
50,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
51,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
52,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
53,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
54,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
55,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
56,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
57,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
58,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
59,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
60,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
61,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
62,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
63,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
64,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
65,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
66,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
67,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
68,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
69,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
70,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
71,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
72,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
73,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
74,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
75,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
76,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
77,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
78,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
79,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
80,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
81,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
82,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
83,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
84,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
85,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
86,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
87,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
88,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
89,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
90,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
91,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
92,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
93,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
94,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
95,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
96,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
97,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
98,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
99,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
100,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
101,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
102,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
103,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
104,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
105,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
106,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
107,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
108,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
109,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
110,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
111,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
112,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
113,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
114,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
115,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
116,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
117,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
118,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
119,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
120,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
121,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
122,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
123,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
124,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
125,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
126,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
127,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
128,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
129,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
130,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
131,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
132,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
133,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
134,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
135,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
136,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
137,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
138,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
139,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
140,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
141,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
142,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
143,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
144,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
145,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
146,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
147,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
148,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
149,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
150,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
151,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
152,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
153,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
154,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
155,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
156,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
157,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
158,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
159,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
160,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
161,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
162,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
163,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
164,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
165,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
166,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
167,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
168,163,1575,2166,127,241,1505,422,1330,181,1012,199,225,285,287,642,339,314,929,1245,536,391,1246,1328,585,100,473,133,1961,430,818,599,841
