map_message_epoch_dups,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
34,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
35,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
36,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
37,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
38,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
39,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
40,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
41,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
42,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
43,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
44,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
45,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
46,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
47,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
48,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
49,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
50,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
51,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
52,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
53,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
54,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
55,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
56,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
57,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
58,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
59,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
60,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
61,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
62,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
63,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
64,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
65,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
66,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
67,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
68,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
69,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
70,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
71,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
72,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
73,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
74,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
75,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
76,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
77,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
78,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
79,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
80,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
81,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
82,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
83,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
84,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
85,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
86,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
87,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
88,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
89,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
90,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
91,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
92,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
93,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
94,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
95,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
96,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
97,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
98,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
99,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
100,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
101,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
102,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
103,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
104,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
105,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
106,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
107,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
108,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
109,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
110,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
111,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
112,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
113,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
114,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
115,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
116,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
117,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
118,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
119,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
120,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
121,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
122,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
123,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
124,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
125,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
126,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
127,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
128,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
129,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
130,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
131,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
132,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
133,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
134,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
135,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
136,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
137,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
138,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
139,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
140,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
141,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
142,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
143,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
144,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
145,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
146,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
147,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
148,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
149,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
150,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
151,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
152,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
153,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
154,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
155,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
156,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
157,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
158,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
159,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
160,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
161,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
162,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
163,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
164,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
165,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
166,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
167,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
168,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
169,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
170,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
171,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
172,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
173,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
174,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
175,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
176,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
177,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
178,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
179,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
180,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
181,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
182,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
183,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
184,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
185,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
186,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
187,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
188,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
189,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
190,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
191,125,113,83,124,124,112,126,96,127,88,120,133,133,107,125,124,100,138,68,61,130,73,82,91,95,40,66,51,65,69,16,41
