op_queue_max_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
10,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
11,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
12,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
13,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
14,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
15,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
16,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
17,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
18,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
19,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
20,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
21,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
22,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
23,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
24,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
25,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
26,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
27,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
28,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
29,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
30,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
31,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
32,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
33,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
34,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
35,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
36,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
37,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
38,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
39,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
40,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
41,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
42,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
43,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
44,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
45,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
46,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
47,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
48,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
49,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
50,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
51,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
52,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
53,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
54,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
55,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
56,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
57,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
58,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
59,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
60,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
61,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
62,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
63,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
64,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
65,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
66,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
67,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
68,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
69,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
70,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
71,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
72,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
73,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
74,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
75,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
76,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
77,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000,10485760000
